species	HGNC	UniProtKB	gene	ID
HUMAN	14099	Q9ULM6	CCR4-NOT transcription complex subunit 6	CNOT6
HUMAN	5113	P14652	Homeobox protein Hox-B2	HOXB2
HUMAN	28412	Q9BQ15	SOSS complex subunit B1	NABP2
HUMAN	19841	Q6SJ96	TATA box-binding protein-like protein 2	TBPL2
HUMAN	33632	A6NMK7	Putative cleavage and polyadenylation specificity factor subunit 4-like protein	CPSF4L
HUMAN	17354	Q96AK3	DNA dC-dU-editing enzyme APOBEC-3D	APOBEC3D
HUMAN	19702	Q96HA1	Nuclear envelope pore membrane protein POM 121	POM121
HUMAN	10377	P05387	60S acidic ribosomal protein P2	RPLP2
HUMAN	11600	Q9Y458	T-box transcription factor TBX22	TBX22
HUMAN	15795	Q9NQ39	Putative 40S ribosomal protein S10-like	RPS10P5
HUMAN	23099	Q8N7R0	Putative homeobox protein NANOG2	NANOGP1
HUMAN	18116	Q07666	"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	KHDRBS1
HUMAN	11300	P09132	Signal recognition particle 19 kDa protein	SRP19
HUMAN	17284	Q9NUX5	Protection of telomeres protein 1	POT1
HUMAN	ENSG00000267303	K7EQG2	Uncharacterized protein (Fragment)	unassigned
HUMAN	33834	Q6ZN32	ETS translocation variant 3-like protein	ETV3L
HUMAN	3301	Q9GZV4	Eukaryotic translation initiation factor 5A-2	EIF5A2
HUMAN	30369	Q9NXZ1	Sarcoma antigen 1	SAGE1
HUMAN	1176	Q13405	"39S ribosomal protein L49, mitochondrial"	MRPL49
HUMAN	33169	Q7RTU5	Achaete-scute homolog 5	ASCL5
HUMAN	4724	P04908	Histone H2A type 1-B/E	HIST1H2AB
HUMAN	14053	Q9NRX2	"39S ribosomal protein L17, mitochondrial"	MRPL17
HUMAN	7969	Q14994	Nuclear receptor subfamily 1 group I member 3	NR1I3
HUMAN	4668	Q9Y5Q8	General transcription factor 3C polypeptide 5	GTF3C5
HUMAN	8044	P80303	Nucleobindin-2	NUCB2
HUMAN	13998	Q9H4Q3	PR domain zinc finger protein 13	PRDM13
HUMAN	11108	Q6STE5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3	SMARCD3
HUMAN	226	P78563	Double-stranded RNA-specific editase 1	ADARB1
HUMAN	16946	Q92791	Synaptonemal complex protein SC65	LEPREL4
HUMAN	18479	Q9UHA3	Probable ribosome biogenesis protein RLP24	RSL24D1
HUMAN	18594	Q969R5	Lethal(3)malignant brain tumor-like protein 2	L3MBTL2
HUMAN	11316	P05455	Lupus La protein	SSB
HUMAN	3581	Q12830	Nucleosome-remodeling factor subunit BPTF	BPTF
HUMAN	10988	Q9H1K4	Mitochondrial glutamate carrier 2	SLC25A18
HUMAN	21744	Q9BZB8	Cytoplasmic polyadenylation element-binding protein 1	CPEB1
HUMAN	25893	Q96K80	Zinc finger CCCH domain-containing protein 10	ZC3H10
HUMAN	2259	Q16206	Ecto-NOX disulfide-thiol exchanger 2	ENOX2
HUMAN	7545	P10242	Transcriptional activator Myb	MYB
HUMAN	6215	Q15046	Lysine--tRNA ligase	KARS
HUMAN	3183	Q8IXK0	Polyhomeotic-like protein 2	PHC2
HUMAN	11630	P35680	Hepatocyte nuclear factor 1-beta	HNF1B
HUMAN	49187	C9J1V9	HCG2043275	EEF1E1-BLOC1S5
HUMAN	10380	O15235	"28S ribosomal protein S12, mitochondrial"	MRPS12
HUMAN	21248	A2RRH5	WD repeat-containing protein 27	WDR27
HUMAN	6408	Q9Y5Q3	Transcription factor MafB	MAFB
HUMAN	17874	P62310	U6 snRNA-associated Sm-like protein LSm3	LSM3
HUMAN	24614	P57772	Selenocysteine-specific elongation factor	EEFSEC
HUMAN	11339	O60225	Protein SSX5	SSX5
HUMAN	740	Q9NQ33	Achaete-scute homolog 3	ASCL3
HUMAN	32583	Q6UB28	"Methionine aminopeptidase 1D, mitochondrial"	METAP1D
HUMAN	2750	Q08211	ATP-dependent RNA helicase A	DHX9
HUMAN	12518	P55851	Mitochondrial uncoupling protein 2	UCP2
HUMAN	26269	Q0P6H9	Transmembrane protein 62	TMEM62
HUMAN	14037	Q96A35	"39S ribosomal protein L24, mitochondrial"	MRPL24
HUMAN	5118	P09629	Homeobox protein Hox-B7	HOXB7
HUMAN	24211	Q5GAN4	Probable inactive ribonuclease-like protein 12	RNASE12
HUMAN	20116	Q8N8R3	Mitochondrial carnitine/acylcarnitine carrier protein CACL	SLC25A29
HUMAN	9964	Q92785	Zinc finger protein ubi-d4	DPF2
HUMAN	11327	Q08945	FACT complex subunit SSRP1	SSRP1
HUMAN	7960	P51843	Nuclear receptor subfamily 0 group B member 1	NR0B1
HUMAN	10396	P62249	40S ribosomal protein S16	RPS16
HUMAN	22937	Q86W25	"NACHT, LRR and PYD domains-containing protein 13"	NLRP13
HUMAN	3282	P60842	Eukaryotic initiation factor 4A-I	EIF4A1
HUMAN	22984	Q9NQC1	Protein Jade-2	JADE2
HUMAN	14089	Q9HCS7	Pre-mRNA-splicing factor SYF1	XAB2
HUMAN	17958	Q6SPF0	Atherin	SAMD1
HUMAN	25821	Q96K58	Zinc finger protein 668	ZNF668
HUMAN	15831	P81877	Single-stranded DNA-binding protein 2	SSBP2
HUMAN	11104	Q92922	SWI/SNF complex subunit SMARCC1	SMARCC1
HUMAN	2736	Q96FC9	Probable ATP-dependent RNA helicase DDX11	DDX11
HUMAN	18532	Q8NHZ7	Methyl-CpG-binding domain protein 3-like 2	MBD3L2
HUMAN	26616	Q8NB37	Parkinson disease 7 domain-containing protein 1	PDDC1
HUMAN	16005	Q9Y543	Transcription factor HES-2	HES2
HUMAN	25386	Q6L8Q7	"2',5'-phosphodiesterase 12"	PDE12
HUMAN	3270	O75822	Eukaryotic translation initiation factor 3 subunit J	EIF3J
HUMAN	15825	Q9Y2N7	Hypoxia-inducible factor 3-alpha	HIF3A
HUMAN	17196	Q8NG08	DNA helicase B	HELB
HUMAN	17563	Q86U44	N6-adenosine-methyltransferase 70 kDa subunit	METTL3
HUMAN	20320	Q8WXF1	Paraspeckle component 1	PSPC1
HUMAN	6502	P08865	40S ribosomal protein SA	RPSA
HUMAN	7659	P52298	Nuclear cap-binding protein subunit 2	NCBP2
HUMAN	23145	Q8NHW3	Transcription factor MafA	MAFA
HUMAN	32166	A6NFQ7	Divergent paired-related homeobox	DPRX
HUMAN	10371	P05388	60S acidic ribosomal protein P0	RPLP0
HUMAN	7213	O00566	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10
HUMAN	23984	Q9GZY0	Nuclear RNA export factor 2	NXF2
HUMAN	11206	P23497	Nuclear autoantigen Sp-100	SP100
HUMAN	17882	Q8WXA9	Splicing regulatory glutamine/lysine-rich protein 1	SREK1
HUMAN	7973	Q9Y466	Nuclear receptor subfamily 2 group E member 1	NR2E1
HUMAN	3511	Q9UQ84	Exonuclease 1	EXO1
HUMAN	27089	Q6F5E8	Leucine-rich repeat-containing protein 16C	RLTPR
HUMAN	9949	O94761	ATP-dependent DNA helicase Q4	RECQL4
HUMAN	9812	P54725	UV excision repair protein RAD23 homolog A	RAD23A
HUMAN	10768	O75533	Splicing factor 3B subunit 1	SF3B1
HUMAN	5039	P52597	Heterogeneous nuclear ribonucleoprotein F	HNRNPF
HUMAN	19336	Q149N8	E3 ubiquitin-protein ligase SHPRH	SHPRH
HUMAN	5137	P31249	Homeobox protein Hox-D3	HOXD3
HUMAN	29899	Q96QD5	DEP domain-containing protein 7	DEPDC7
HUMAN	14273	Q8N9W6	Protein boule-like	BOLL
HUMAN	2746	P17844	Probable ATP-dependent RNA helicase DDX5	DDX5
HUMAN	5024	P41235	Hepatocyte nuclear factor 4-alpha	HNF4A
HUMAN	26636	Q8NAP3	Zinc finger and BTB domain-containing protein 38	ZBTB38
HUMAN	14067	Q8WUI4	Histone deacetylase 7	HDAC7
HUMAN	10336	P62910	60S ribosomal protein L32	RPL32
HUMAN	4761	P06899	Histone H2B type 1-J	HIST1H2BJ
HUMAN	4882	Q9NQ87	Hairy/enhancer-of-split related with YRPW motif-like protein	HEYL
HUMAN	26022	Q7L0Y3	Mitochondrial ribonuclease P protein 1	TRMT10C
HUMAN	13826	Q5VZB9	Doublesex- and mab-3-related transcription factor A1	DMRTA1
HUMAN	16719	Q14147	Probable ATP-dependent RNA helicase DHX34	DHX34
HUMAN	449	O95076	Homeobox protein aristaless-like 3	ALX3
HUMAN	25955	Q8ND82	Zinc finger protein 280C	ZNF280C
HUMAN	11335	Q16384	Protein SSX1	SSX1
HUMAN	30186	Q9UHW5	GPN-loop GTPase 3	GPN3
HUMAN	6734	P12980	Protein lyl-1	LYL1
HUMAN	4413	P36915	Guanine nucleotide-binding protein-like 1	GNL1
HUMAN	7327	O15457	MutS protein homolog 4	MSH4
HUMAN	11159	P62316	Small nuclear ribonucleoprotein Sm D2	SNRPD2
HUMAN	23782	Q9BY77	Polymerase delta-interacting protein 3	POLDIP3
HUMAN	13411	Q8N3S3	Putative homeodomain transcription factor 2	PHTF2
HUMAN	3113	Q01094	Transcription factor E2F1	E2F1
HUMAN	16369	Q99497	Protein DJ-1	PARK7
HUMAN	13399	O60422	One cut domain family member 3	ONECUT3
HUMAN	15968	Q8TB36	Ganglioside-induced differentiation-associated protein 1	GDAP1
HUMAN	5010	P17096	High mobility group protein HMG-I/HMG-Y	HMGA1
HUMAN	5106	P20719	Homeobox protein Hox-A5	HOXA5
HUMAN	24535	Q9NV06	DDB1- and CUL4-associated factor 13	DCAF13
HUMAN	22949	Q5TB30	DEP domain-containing protein 1A	DEPDC1
HUMAN	17349	O43172	U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4
HUMAN	ENSG00000273049	V9GYH0	Uncharacterized protein (Fragment)	unassigned
HUMAN	8633	P40425	Pre-B-cell leukemia transcription factor 2	PBX2
HUMAN	9194	P62487	DNA-directed RNA polymerase II subunit RPB7	POLR2G
HUMAN	33270	Q6NSH3	Cancer/testis antigen family 45 member A5	CT45A5
HUMAN	26191	Q9H6B1	Zinc finger protein 385D	ZNF385D
HUMAN	18501	Q8TD47	"40S ribosomal protein S4, Y isoform 2"	RPS4Y2
HUMAN	6204	P05412	Transcription factor AP-1	JUN
HUMAN	18522	Q5VV16	Forkhead box protein D4-like 5	FOXD4L5
HUMAN	25652	Q9H089	Large subunit GTPase 1 homolog	LSG1
HUMAN	4750	Q99879	Histone H2B type 1-M	HIST1H2BM
HUMAN	28121	Q5JSZ5	Protein PRRC2B	PRRC2B
HUMAN	36404	Q8NHW5	60S acidic ribosomal protein P0-like	RPLP0P6
HUMAN	8002	P54845	Neural retina-specific leucine zipper protein	NRL
HUMAN	3749	Q01543	Friend leukemia integration 1 transcription factor	FLI1
HUMAN	11487	Q15431	Synaptonemal complex protein 1	SYCP1
HUMAN	25105	Q9H930	Nuclear body protein SP140-like protein	SP140L
HUMAN	6653	Q8TE12	LIM homeobox transcription factor 1-alpha	LMX1A
HUMAN	26332	Q569K4	Zinc finger protein 385B	ZNF385B
HUMAN	6945	P25205	DNA replication licensing factor MCM3	MCM3
HUMAN	9185	Q9NP87	DNA-directed DNA/RNA polymerase mu	POLM
HUMAN	9898	Q9NTZ6	RNA-binding protein 12	RBM12
HUMAN	30776	Q8N3X6	Ligand-dependent nuclear receptor corepressor-like protein	LCORL
HUMAN	15830	Q8N2R0	Protein odd-skipped-related 2	OSR2
HUMAN	25316	Q5VZ19	Tudor domain-containing protein 10	TDRD10
HUMAN	25722	Q8WTP8	Apoptosis-enhancing nuclease	AEN
HUMAN	14360	P78415	Iroquois-class homeodomain protein IRX-3	IRX3
HUMAN	17264	O95602	DNA-directed RNA polymerase I subunit RPA1	POLR1A
HUMAN	9954	Q04864	Proto-oncogene c-Rel	REL
HUMAN	7819	P55769	NHP2-like protein 1	NHP2L1
HUMAN	29228	Q9ULI2	Beta-citrylglutamate synthase B	RIMKLB
HUMAN	14987	Q8TDY4	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3"	ASAP3
HUMAN	3079	O43812	Double homeobox protein 1	DUX1
HUMAN	8075	Q9H1B4	Nuclear RNA export factor 5	NXF5
HUMAN	20272	Q8ND23	Leucine-rich repeat-containing protein 16B	LRRC16B
HUMAN	12860	O43829	Zinc finger and BTB domain-containing protein 14	ZBTB14
HUMAN	17427	Q92784	Zinc finger protein DPF3	DPF3
HUMAN	21100	Q96PU8	Protein quaking	QKI
HUMAN	1834	P17676	CCAAT/enhancer-binding protein beta	CEBPB
HUMAN	13804	Q96NK8	Neurogenic differentiation factor 6	NEUROD6
HUMAN	10853	O15266	Short stature homeobox protein	SHOX
HUMAN	8064	P35658	Nuclear pore complex protein Nup214	NUP214
HUMAN	8522	P32243	Homeobox protein OTX2	OTX2
HUMAN	3372	O95936	Eomesodermin homolog	EOMES
HUMAN	11193	O95416	Transcription factor SOX-14	SOX14
HUMAN	32060	Q5TEC6	Histone H3	HIST2H3PS2
HUMAN	10075	O43148	mRNA cap guanine-N7 methyltransferase	RNMT
HUMAN	26015	Q59GN2	Putative 60S ribosomal protein L39-like 5	RPL39P5
HUMAN	29983	Q9HA38	Zinc finger matrin-type protein 3	ZMAT3
HUMAN	14932	Q9Y6E7	NAD-dependent protein deacetylase sirtuin-4	SIRT4
HUMAN	9199	P62875	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	POLR2L
HUMAN	13222	Q9C0K0	B-cell lymphoma/leukemia 11B	BCL11B
HUMAN	29025	O15090	Zinc finger protein 536	ZNF536
HUMAN	9896	P98175	RNA-binding protein 10	RBM10
HUMAN	19146	Q3KNT7	Putative NOL1/NOP2/Sun domain family member 5B	NSUN5P1
HUMAN	17499	Q9UGK8	Secretion-regulating guanine nucleotide exchange factor	SERGEF
HUMAN	9127	O95744	Putative postmeiotic segregation increased 2-like protein 2	PMS2P2
HUMAN	29931	Q9BVP2	Guanine nucleotide-binding protein-like 3	GNL3
HUMAN	10782	Q05519	Serine/arginine-rich splicing factor 11	SRSF11
HUMAN	7234	Q96E11	"Ribosome-recycling factor, mitochondrial"	MRRF
HUMAN	25297	Q6ZN04	RNA-binding protein MEX3B	MEX3B
HUMAN	33268	Q8NHU0	Cancer/testis antigen family 45 member A3	CT45A3
HUMAN	786	P18848	Cyclic AMP-dependent transcription factor ATF-4	ATF4
HUMAN	22423	Q96H79	Zinc finger CCCH-type antiviral protein 1-like	ZC3HAV1L
HUMAN	30146	A6NJG6	Arginine-fifty homeobox	ARGFX
HUMAN	6107	P52945	Pancreas/duodenum homeobox protein 1	PDX1
HUMAN	21300	Q9H633	Ribonuclease P protein subunit p21	RPP21
HUMAN	1852	P07199	Major centromere autoantigen B	CENPB
HUMAN	4185	Q14549	Homeobox protein GBX-1	GBX1
HUMAN	8634	P40426	Pre-B-cell leukemia transcription factor 3	PBX3
HUMAN	13726	Q8NEZ4	Histone-lysine N-methyltransferase 2C	KMT2C
HUMAN	18808	Q9Y6E2	Basic leucine zipper and W2 domain-containing protein 2	BZW2
HUMAN	15762	Q9BZJ0	Crooked neck-like protein 1	CRNKL1
HUMAN	14935	Q9NRC8	NAD-dependent protein deacetylase sirtuin-7	SIRT7
HUMAN	17341	Q96Q11	"CCA tRNA nucleotidyltransferase 1, mitochondrial"	TRNT1
HUMAN	16060	Q8WWH5	Probable tRNA pseudouridine synthase 1	TRUB1
HUMAN	4652	P35269	General transcription factor IIF subunit 1	GTF2F1
HUMAN	7134	Q03111	Protein ENL	MLLT1
HUMAN	24566	Q5T6S3	PHD finger protein 19	PHF19
HUMAN	30616	P60008	Spermatid-specific linker histone H1-like protein	HILS1
HUMAN	11158	P62314	Small nuclear ribonucleoprotein Sm D1	SNRPD1
HUMAN	3806	O00358	Forkhead box protein E1	FOXE1
HUMAN	16718	Q9H6R0	Putative ATP-dependent RNA helicase DHX33	DHX33
HUMAN	26023	Q8N9H8	Probable exonuclease mut-7 homolog	EXD3
HUMAN	4978	Q14774	H2.0-like homeobox protein	HLX
HUMAN	29989	Q86YP4	Transcriptional repressor p66-alpha	GATAD2A
HUMAN	10770	Q15393	Splicing factor 3B subunit 3	SF3B3
HUMAN	22448	O60393	Homeobox protein NOBOX	NOBOX
HUMAN	9701	Q00577	Transcriptional activator protein Pur-alpha	PURA
HUMAN	11191	P35716	Transcription factor SOX-11	SOX11
HUMAN	11197	Q9Y651	Transcription factor SOX-21	SOX21
HUMAN	1581	P24863	Cyclin-C	CCNC
HUMAN	29513	O60306	Intron-binding protein aquarius	AQR
HUMAN	33845	P0CL85	STAG3-like protein 3	STAG3L3
HUMAN	18855	Q68CJ9	Cyclic AMP-responsive element-binding protein 3-like protein 3	CREB3L3
HUMAN	14068	Q9UQL6	Histone deacetylase 5	HDAC5
HUMAN	30958	Q969S3	Zinc finger protein 622	ZNF622
HUMAN	10526	Q9Y467	Sal-like protein 2	SALL2
HUMAN	9121	P54277	PMS1 protein homolog 1	PMS1
HUMAN	2720	Q9ULH1	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"	ASAP1
HUMAN	28972	Q8IXZ2	Zinc finger CCCH domain-containing protein 3	ZC3H3
HUMAN	26814	Q5EBL4	RILP-like protein 1	RILPL1
HUMAN	3506	P49640	Homeobox even-skipped homolog protein 1	EVX1
HUMAN	8062	P49790	Nuclear pore complex protein Nup153	NUP153
HUMAN	10301	P62913	60S ribosomal protein L11	RPL11
HUMAN	18254	Q96HZ4	Transcription cofactor HES-6	HES6
HUMAN	853	P15313	"V-type proton ATPase subunit B, kidney isoform"	ATP6V1B1
HUMAN	19398	Q96JS3	PiggyBac transposable element-derived protein 1	PGBD1
HUMAN	31817	Q5JNZ5	Putative 40S ribosomal protein S26-like 1	RPS26P11
HUMAN	11137	Q5SXM2	snRNA-activating protein complex subunit 4	SNAPC4
HUMAN	31921	Q3KQZ1	Solute carrier family 25 member 35	SLC25A35
HUMAN	3798	P15408	Fos-related antigen 2	FOSL2
HUMAN	12814	P23025	DNA repair protein complementing XP-A cells	XPA
HUMAN	1190	Q9NZP6	Nuclear pore-associated protein 1	NPAP1
HUMAN	4621	P15170	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	GSPT1
HUMAN	19070	Q96FV9	THO complex subunit 1	THOC1
HUMAN	8638	Q92831	Histone acetyltransferase KAT2B	KAT2B
HUMAN	2352	Q03060	cAMP-responsive element modulator	CREM
HUMAN	30021	Q9BYK8	Helicase with zinc finger domain 2	HELZ2
HUMAN	2739	O60231	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	DHX16
HUMAN	20813	Q9H4T2	Zinc finger and SCAN domain-containing protein 16	ZSCAN16
HUMAN	3495	P41212	Transcription factor ETV6	ETV6
HUMAN	13639	O95231	Homeobox protein VENTX	VENTX
HUMAN	28866	Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1	IGF2BP1
HUMAN	36809	A6NE09	40S ribosomal protein SA	RPSAP58
HUMAN	8073	Q9H4D5	Nuclear RNA export factor 3	NXF3
HUMAN	21022	Q5JTZ9	"Alanine--tRNA ligase, mitochondrial"	AARS2
HUMAN	4642	P0CG29	Glutathione S-transferase theta-2	GSTT2
HUMAN	14603	Q9Y222	Cyclin-D-binding Myb-like transcription factor 1	DMTF1
HUMAN	15921	Q9UKM9	RNA-binding protein Raly	RALY
HUMAN	10991	P05141	ADP/ATP translocase 2	SLC25A5
HUMAN	11365	Q14765	Signal transducer and activator of transcription 4	STAT4
HUMAN	20854	Q9H0W7	THAP domain-containing protein 2	THAP2
HUMAN	30534	Q5VTE6	Protein angel homolog 2	ANGEL2
HUMAN	10241	Q9H814	Phosphorylated adapter RNA export protein	PHAX
HUMAN	16385	Q96P11	Putative methyltransferase NSUN5	NSUN5
HUMAN	14517	Q8N983	"39S ribosomal protein L43, mitochondrial"	MRPL43
HUMAN	1107	Q07352	"Zinc finger protein 36, C3H1 type-like 1"	ZFP36L1
HUMAN	4762	P57053	Histone H2B type F-S	H2BFS
HUMAN	26209	Q8N3Z6	Zinc finger CCHC domain-containing protein 7	ZCCHC7
HUMAN	7963	Q14995	Nuclear receptor subfamily 1 group D member 2	NR1D2
HUMAN	10259	Q92753	Nuclear receptor ROR-beta	RORB
HUMAN	15682	Q8NDX5	Polyhomeotic-like protein 3	PHC3
HUMAN	27334	Q5JSJ4	Protein DDX26B	DDX26B
HUMAN	33854	Q569K6	Coiled-coil domain-containing protein 157	CCDC157
HUMAN	1596	O75909	Cyclin-K	CCNK
HUMAN	25206	Q8WV99	AN1-type zinc finger protein 2B	ZFAND2B
HUMAN	14056	Q5T653	"39S ribosomal protein L2, mitochondrial"	MRPL2
HUMAN	10331	P47914	60S ribosomal protein L29	RPL29
HUMAN	18331	Q6NT04	Tigger transposable element-derived protein 7	TIGD7
HUMAN	4641	P30711	Glutathione S-transferase theta-1	GSTT1
HUMAN	3342	Q05925	Homeobox protein engrailed-1	EN1
HUMAN	17035	Q96B26	Exosome complex component RRP43	EXOSC8
HUMAN	17933	Q9H7Z6	Histone acetyltransferase KAT8	KAT8
HUMAN	27097	A6NFN3	RNA binding protein fox-1 homolog 3	RBFOX3
HUMAN	10317	P62750	60S ribosomal protein L23a	RPL23A
HUMAN	10425	P22090	"40S ribosomal protein S4, Y isoform 1"	RPS4Y1
HUMAN	10441	P62241	40S ribosomal protein S8	RPS8
HUMAN	3473	O95718	Steroid hormone receptor ERR2	ESRRB
HUMAN	23193	Q9P2Z0	THAP domain-containing protein 10	THAP10
HUMAN	1914	O95199	RCC1 and BTB domain-containing protein 2	RCBTB2
HUMAN	14959	Q96T37	Putative RNA-binding protein 15	RBM15
HUMAN	6038	Q12906	Interleukin enhancer-binding factor 3	ILF3
HUMAN	10987	O43808	Peroxisomal membrane protein PMP34	SLC25A17
HUMAN	961	Q9UIG0	Tyrosine-protein kinase BAZ1B	BAZ1B
HUMAN	4053	P05161	Ubiquitin-like protein ISG15	ISG15
HUMAN	2718	Q92466	DNA damage-binding protein 2	DDB2
HUMAN	2584	Q9NQC7	Ubiquitin carboxyl-terminal hydrolase CYLD	CYLD
HUMAN	20876	Q96S55	ATPase WRNIP1	WRNIP1
HUMAN	10402	P39019	40S ribosomal protein S19	RPS19
HUMAN	23208	Q9GZM3	DNA-directed RNA polymerase II subunit RPB11-b1	POLR2J2
HUMAN	19683	Q8TAS1	Serine/threonine-protein kinase Kist	UHMK1
HUMAN	10541	Q01826	DNA-binding protein SATB1	SATB1
HUMAN	17944	Q9NQT5	Exosome complex component RRP40	EXOSC3
HUMAN	5108	P31268	Homeobox protein Hox-A7	HOXA7
HUMAN	29543	B1AK76	Putative SNURF-like protein	SNURFL
HUMAN	9122	P54278	Mismatch repair endonuclease PMS2	PMS2
HUMAN	13671	Q96KK5	Histone H2A type 1-H	HIST1H2AH
HUMAN	17017	P62312	U6 snRNA-associated Sm-like protein LSm6	LSM6
HUMAN	30959	Q8IWR0	Zinc finger CCCH domain-containing protein 7A	ZC3H7A
HUMAN	9176	P49005	DNA polymerase delta subunit 2	POLD2
HUMAN	20951	Q9C009	Forkhead box protein Q1	FOXQ1
HUMAN	1104	Q15059	Bromodomain-containing protein 3	BRD3
HUMAN	17854	Q9HAU5	Regulator of nonsense transcripts 2	UPF2
HUMAN	18332	Q17RP2	Tigger transposable element-derived protein 6	TIGD6
HUMAN	8111	Q8TAX0	Protein odd-skipped-related 1	OSR1
HUMAN	28725	Q8IXN7	N-acetylaspartylglutamate synthase A	RIMKLA
HUMAN	28084	Q2M1V0	Intestine-specific homeobox	ISX
HUMAN	13907	Q8N100	Protein atonal homolog 7	ATOH7
HUMAN	22952	Q8N2C3	DEP domain-containing protein 4	DEPDC4
HUMAN	7672	O75376	Nuclear receptor corepressor 1	NCOR1
HUMAN	17259	Q9Y4Z0	U6 snRNA-associated Sm-like protein LSm4	LSM4
HUMAN	25481	O75648	Mitochondrial tRNA-specific 2-thiouridylase 1	TRMU
HUMAN	27619	Q149M9	NACHT and WD repeat domain-containing protein 1	NWD1
HUMAN	11634	P15884	Transcription factor 4	TCF4
HUMAN	30074	O14802	DNA-directed RNA polymerase III subunit RPC1	POLR3A
HUMAN	3650	P39748	Flap endonuclease 1	FEN1
HUMAN	12791	Q14191	Werner syndrome ATP-dependent helicase	WRN
HUMAN	24149	Q9HCC6	Transcription factor HES-4	HES4
HUMAN	15676	Q9BWG4	Single-stranded DNA-binding protein 4	SSBP4
HUMAN	2699	O15523	ATP-dependent RNA helicase DDX3Y	DDX3Y
HUMAN	30869	Q9UGR2	Zinc finger CCCH domain-containing protein 7B	ZC3H7B
HUMAN	1835	P49716	CCAAT/enhancer-binding protein delta	CEBPD
HUMAN	4643	O43708	Maleylacetoacetate isomerase	GSTZ1
HUMAN	3446	P11308	Transcriptional regulator ERG	ERG
HUMAN	10363	P18124	60S ribosomal protein L7	RPL7
HUMAN	7652	O60934	Nibrin	NBN
HUMAN	739	Q99929	Achaete-scute homolog 2	ASCL2
HUMAN	18335	Q8IY51	Tigger transposable element-derived protein 4	TIGD4
HUMAN	17860	Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1
HUMAN	20074	Q504Q3	PAB-dependent poly(A)-specific ribonuclease subunit PAN2	PAN2
HUMAN	10530	O00422	Histone deacetylase complex subunit SAP18	SAP18
HUMAN	32469	Q8NE65	Protein ZNF738	ZNF738
HUMAN	7961	Q15466	Nuclear receptor subfamily 0 group B member 2	NR0B2
HUMAN	3775	Q06787	Fragile X mental retardation protein 1	FMR1
HUMAN	23189	Q8TBB0	THAP domain-containing protein 6	THAP6
HUMAN	7887	Q9UNW9	RNA-binding protein Nova-2	NOVA2
HUMAN	12458	P62987	Ubiquitin-60S ribosomal protein L40	UBA52
HUMAN	7764	Q92886	Neurogenin-1	NEUROG1
HUMAN	13544	Q9NRG0	Chromatin accessibility complex protein 1	CHRAC1
HUMAN	14254	Q9UK39	Nocturnin	CCRN4L
HUMAN	7983	Q13285	Steroidogenic factor 1	NR5A1
HUMAN	37267	P0CJ85	Double homeobox protein 4-like protein 2	DUX4L2
HUMAN	2345	P16220	Cyclic AMP-responsive element-binding protein 1	CREB1
HUMAN	10884	O14893	Gem-associated protein 2	GEMIN2
HUMAN	ENSG00000239665	M0R3G1	Protein LOC101928497 (Fragment)	LOC101928497
HUMAN	27867	P0C1H6	Histone H2B type F-M	H2BFM
HUMAN	26881	Q17RS7	Flap endonuclease GEN homolog 1	GEN1
HUMAN	30855	O15042	U2 snRNP-associated SURP motif-containing protein	U2SURP
HUMAN	16645	Q13595	Transformer-2 protein homolog alpha	TRA2A
HUMAN	11203	P57073	Transcription factor SOX-8	SOX8
HUMAN	26677	Q8NA19	Lethal(3)malignant brain tumor-like protein 4	L3MBTL4
HUMAN	3801	Q99958	Forkhead box protein C2	FOXC2
HUMAN	33164	Q6NXT2	Histone H3.3C	H3F3C
HUMAN	21029	Q7Z4V0	Zinc finger protein 438	ZNF438
HUMAN	21868	Q9GZY4	Cytochrome c oxidase assembly factor 1 homolog	COA1
HUMAN	5002	Q9P0W2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	HMG20B
HUMAN	19374	O15226	NF-kappa-B-repressing factor	NKRF
HUMAN	11597	Q13207	T-box transcription factor TBX2	TBX2
HUMAN	3293	O60573	Eukaryotic translation initiation factor 4E type 2	EIF4E2
HUMAN	16754	Q96P50	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3"	ACAP3
HUMAN	5127	Q00444	Homeobox protein Hox-C5	HOXC5
HUMAN	11989	P11388	DNA topoisomerase 2-alpha	TOP2A
HUMAN	5026	Q14541	Hepatocyte nuclear factor 4-gamma	HNF4G
HUMAN	14049	O60783	"28S ribosomal protein S14, mitochondrial"	MRPS14
HUMAN	10303	P26373	60S ribosomal protein L13	RPL13
